ACTINVR B=15.605=0.6447453255963871
AEROMEX *=27.125=-0.558035714285709
AGRIEXP A=0.0=-100.0
AGUA *=29.425=-0.2368866328257201
ALF603L DC028=0.0=-100.0
ALF605L DC030=0.0=-100.0
ALSEA *=47.325=-0.23201856148491762
ANGELD 10=29.15=-0.44505306401918027
ARA *=6.48=-0.7656967840735042
ARTCK 13=0.0=-100.0
ARTCK 13-2=0.0=-100.0
ARTHACK 10=0.0=-100.0
AUTLAN B=12.335=10.968294772922018
AXJ506R DC001=0.0=-100.0
AXTEL B=0.0=0.0
AXTEL CPO=4.77=2.5477707006369448
AZTECA A=0.0=0.0
AZTECA CPO=4.53=0.0
BBVA *=154.71=0.4535441233639942
BEVIDES A=0.0=-100.0
BEVIDES B=0.0=-100.0
BIMBO A=42.575=-0.14117647058824065
BOLSA A=28.875=0.6949270326615681
BRTRAC 10=0.0=-100.0
C *=833.85=1.729768960928989
CABLE CPO=0.0=-100.0
CAN505R DC042=0.0=-100.0
CAN507R DC043=0.0=-100.0
CAN508L DC046=0.0=-100.0
CAN509R DC047=0.0=-100.0
CAN509R DC048=0.0=-100.0
CAN512R DC049=0.0=-100.0
CEMEX A=0.0=-100.0
CEMEX B=0.0=-100.0
CEMEX CPO=15.555=-0.1934235976789127
CETETRC ISHRS=102.945=-0.009713453132593605
CHNTRAC 11=0.0=-100.0
CIE B=0.0=-100.0
CI3CK 11=0.0=-100.0
CMR B=5.735=-0.5217391304347869
CMX506R DC129=0.0=-100.0
CMX506R DC130=0.0=-100.0
CMX506R DC168=0.0=-100.0
CMX506R DC169=0.0=-100.0
CMX506R DC170=0.0=-100.0
CMX506R DC171=0.0=-100.0
CMX506R DC172=0.0=-100.0
CMX506R DC173=0.0=-100.0
COLLADO *=0.0=-100.0
COMERCI UB=0.0=-100.0
COMERCI UBC=49.275=-0.12197601138441791
CONSTRU 10=0.0=-100.0
CONSUMO 10=0.0=-100.0
CONVER A=5.485=-0.54545454545455
CORPTRC ISHRS=9.51=-0.2100840336134409
CREAL *=36.885=-1.3444474321054047
DANHOS 13=37.025=0.6775067750677507
DIABLOI 10=14.545=0.6872852233676952
DLRTRAC 15=15.115=1.533333333333336
EDOARDO B=0.0=-100.0
EEM508R DC011=0.0=-100.0
ELEKTRA *=395.92=0.0
ENLACE 10=21.825=-3.201082055906226
EXICK 14=0.0=-100.0
FHIPO 14=26.115=0.19083969465649128
FIBRAMQ 12=23.07=-1.2908777969018812
FIBRAPL 14=26.22=-0.3423354887790029
FIBRATC 14=0.0=-100.0
FIHO 12=20.035=-0.30045067601401465
FINAMEX O=0.0=-100.0
FINN 13=14.75=-0.6085192697768753
FMTY 14=12.65=0.3921568627451036
FRAGUA B=248.0=0.0
FRES *=0.0=-100.0
FSHOP 13=17.25=-1.1554015020219486
FUNO 11=39.25=-0.9878419452887373
GAP B=109.18=-0.9662716499544233
GBM O=14.555=0.0687285223367683
GEO B=0.0=-100.0
GFAMSA A=10.905=-0.8264462809917341
GFINTER O=97.19=-0.0704792589609275
GFMULTI O=0.0=-100.0
GIGANTE *=0.0=-100.0
GMD *=15.295=3.3333333333333335
GOMO *=0.0=-100.0
GRUMA B=191.305=1.3787426689988718
HCITY *=22.9=-0.7815892314372545
HILASAL A=0.84=-0.23529411764705901
HILASAL B=0.0=-100.0
HOGAR B=3.06=4.682274247491628
HOTEL *=8.36=-0.36057692307693673
ICA *=14.1=-1.4778325123152767
ICH B=65.22=-0.16842749961720935
ICMTRAC ISHRS=0.0=-100.0
ICUADCK 10=0.0=-100.0
IENOVA *=83.585=0.7968127490039799
ILCTRAC ISHRS=0.0=-100.0
IMCTRAC ISHRS=30.61=-0.45632333767927175
IMXTRAC ISHRS=0.0=-100.0
INCARSO B-1=0.0=-100.0
INGEAL B=0.0=-100.0
IPC506R DC307=0.0=-100.0
IPC506R DC308=0.0=-100.0
IPC506R DC330=0.0=-100.0
IPC509R DC275=0.0=-100.0
IPC509R DC290=0.0=-100.0
IPC509R DC327=0.0=-100.0
IPC509R DC332=0.0=-100.0
IPC510R DC315=0.0=-100.0
IPC510R DC316=0.0=-100.0
IPC510R DC317=0.0=-100.0
IPC510R DC334=0.0=-100.0
IPC511R DC318=0.0=-100.0
IPC511R DC320=0.0=-100.0
IPC511R DC321=0.0=-100.0
IPC603R DC329=0.0=-100.0
IPC603R DC331=0.0=-100.0
IPC603R DC333=0.0=-100.0
IVVPESO ISHRS=29.65=-0.23592854735423083
IVV505R DC002=0.0=-100.0
IVV512R DC003=0.0=-100.0
IVV512R DC004=0.0=-100.0
IVV602R DC007=0.0=-100.0
LAB B=17.415=1.91637630662022
LATINCK 12=0.0=-100.0
LIVEPOL 1=0.0=-100.0
LIVEPOL C-1=174.0=0.017177211565989774
MASECA A=0.0=-100.0
MASECA B=0.0=-100.0
MAXCOM A=0.0=0.0
MAXCOM CPO=1.785=1.1235955056179785
MEGA CPO=62.805=-0.1426533523537857
MEXMTUM ISHRS=0.0=-100.0
MEXRISK ISHRS=0.0=-100.0
MEXTRAC 09=32.105=-0.2177971375233363
MFRISCO A-1=12.71=0.31746031746032477
MHNOSCK 10=0.0=-100.0
MIFMXCK 09=0.0=-100.0
MONEX A=0.0=-100.0
MONEX B=16.5=0.0
MRPCK 12=0.0=-100.0
M10TRAC ISHRS=106.995=0.23392907270515578
M5TRAC ISHRS=95.685=-0.09401441554372025
NAFTRAC ISHRS=45.545=-0.21958717610891837
OHLMEX *=24.385=-1.785714285714291
PAPPEL *=21.39=0.9915014164305989
PINFRA *=172.3=0.24401580292818234
PINFRA L=159.1=-0.5031446540880575
POCHTEC B=14.325=0.06997900629812151
PSOTRAC 15=0.0=-100.0
PV *=0.0=-100.0
QC CPO=28.975=-0.8608815426997245
QUMMA B=0.0=-100.0
RASSINI A=31.28=-0.031989763275756755
RASSINI B=0.0=0.0
RASSINI C=0.0=0.0
RASSINI CPO=62.795=-0.38071065989848035
SAB *=0.0=-100.0
SAN *=113.015=0.8619923575935295
SANMEX B=30.505=-1.0447273914462956
SANMEX F=0.0=0.0
SARE B=0.331=-0.6006006006006012
SAVIA A=0.0=-100.0
SIMEC B=44.995=0.3763559884879382
SMARTRC 14=18.925=0.10587612493382514
SORIANA B=36.575=0.3287671232876642
SPORT S=18.885=-0.26525198938992417
TEAK CPO=17.49=0.0
TERRA 13=30.335=-0.42650918635170276
TLEVISA A=0.0=-100.0
TLEVISA B=0.0=-100.0
TLEVISA D=0.0=-100.0
TLEVISA L=0.0=-100.0
TLEVISA CPO=111.435=0.33336336606901934
TMM A=3.82=3.7333333333333365
TS *=229.7=-4.5106382978723385
UDITRAC ISHRS=0.0=-100.0
UMSTRAC ISHRS=0.0=-100.0
URBI *=0.0=-100.0
VALUEGF O=97.0=-3.0456852791878175
VERTXCK 11=0.0=-100.0
VESTA *=27.56=1.201310520567899
VITRO A=42.525=-0.11750881316098039
VOLAR A=19.17=1.2035583464154915
